model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades
PCR,ret_CADUSD,1,full,0.0109,0.0021,-0.0109,0.0387,-0.2818,-0.095,-0.000556,0.4803,406
PCR,ret_CADUSD,1,long,0.0088,0.0017,-0.0113,0.0371,-0.3047,-0.0868,-0.000556,0.4783,391
PCR,ret_CADUSD,1,short,0.002,0.0004,-0.0126,0.0111,-1.1411,-0.0221,-0.000556,0.5333,15
RF,ret_CADUSD_cum10,10,full,0.0041,0.0008,-0.0122,0.0451,-0.2709,-0.1098,-0.007302,0.5098,204
RF,ret_CADUSD_cum10,10,long,-0.0834,-0.0167,-0.0297,0.0525,-0.5662,-0.1872,-0.007302,0.5083,120
RF,ret_CADUSD_cum10,10,short,0.1106,0.0205,0.0075,0.0456,0.1649,-0.0748,-0.007302,0.5119,84
RF,ret_CADUSD_cum15,15,full,-0.0848,-0.017,-0.0301,0.0467,-0.6429,-0.1877,-0.005801,0.5104,192
RF,ret_CADUSD_cum15,15,long,-0.1155,-0.0235,-0.0365,0.0528,-0.6926,-0.2002,-0.005801,0.4757,103
RF,ret_CADUSD_cum15,15,short,0.0189,0.0036,-0.0094,0.0504,-0.1863,-0.0585,-0.005801,0.5506,89
PCR,ret_CADUSD_cum3,3,full,-0.0569,-0.0113,-0.0243,0.0128,-1.8951,-0.062,-0.000954,0.2308,13
PCR,ret_CADUSD_cum3,3,long,-0.0411,-0.0081,-0.0211,0.011,-1.917,-0.0447,-0.000954,0.2222,9
PCR,ret_CADUSD_cum3,3,short,-0.0165,-0.0032,-0.0162,0.0066,-2.464,-0.0191,-0.000954,0.25,4
RF,ret_EURUSD_cum15,15,full,-0.0214,-0.0042,-0.0172,0.065,-0.2648,-0.1587,-0.0049,0.4859,354
RF,ret_EURUSD_cum15,15,long,0.0278,0.0053,-0.0077,0.0473,-0.1628,-0.1016,-0.0049,0.4894,47
RF,ret_EURUSD_cum15,15,short,-0.038,-0.0075,-0.0205,0.071,-0.2886,-0.2199,-0.0049,0.4853,307
LGB,ret_GBPUSD_cum15,15,full,-0.1081,-0.0219,-0.035,0.0662,-0.5281,-0.1608,-0.033117,0.4966,147
LGB,ret_GBPUSD_cum15,15,long,-0.0149,-0.0029,-0.0159,0.0541,-0.2944,-0.1488,-0.033117,0.439,41
LGB,ret_GBPUSD_cum15,15,short,-0.0902,-0.0182,-0.0312,0.0631,-0.4943,-0.1719,-0.033117,0.5189,106
PCR,ret_GC,1,full,-0.0965,-0.0195,-0.0325,0.0565,-0.575,-0.1528,-9e-06,0.3987,158
PCR,ret_GC,1,long,-0.0058,-0.0011,-0.0141,0.011,-1.2885,-0.0202,-9e-06,0.5,2
PCR,ret_GC,1,short,-0.0913,-0.0184,-0.0314,0.0554,-0.5662,-0.1354,-9e-06,0.3974,156
Bwd (CV),ret_GSPC_cum15,15,full,0.5636,0.0905,0.0775,0.1558,0.4975,-0.329,-0.000943,0.6472,462
Bwd (CV),ret_GSPC_cum15,15,long,0.6726,0.1048,0.0918,0.1646,0.558,-0.3064,-0.000943,0.6547,446
Bwd (CV),ret_GSPC_cum15,15,short,-0.0823,-0.0165,-0.0295,0.0717,-0.4116,-0.1211,-0.000943,0.4375,16
Fwd (CV),ret_GSPC_cum3,3,full,0.8169,0.1227,0.1097,0.1404,0.7815,-0.2887,-0.003039,0.5959,485
Fwd (CV),ret_GSPC_cum3,3,long,0.7325,0.1124,0.0994,0.144,0.6905,-0.277,-0.003039,0.6017,467
Fwd (CV),ret_GSPC_cum3,3,short,0.038,0.0073,-0.0058,0.0497,-0.1159,-0.0754,-0.003039,0.4444,18
Bwd (CV),ret_RUT_cum15,15,full,-0.4267,-0.1022,-0.1153,0.1921,-0.5999,-0.5237,0.003214,0.4152,289
Bwd (CV),ret_RUT_cum15,15,long,0.1114,0.0207,0.0077,0.126,0.0609,-0.2825,0.003214,0.5217,23
Bwd (CV),ret_RUT_cum15,15,short,-0.4267,-0.1022,-0.1153,0.1888,-0.6105,-0.5307,0.003214,0.406,266
Bwd (CV),ret_RUT_cum5,5,full,0.6064,0.0962,0.0832,0.2,0.4161,-0.3134,0.005577,0.5022,460
Bwd (CV),ret_RUT_cum5,5,long,0.3982,0.0671,0.0541,0.2099,0.2578,-0.3235,0.005577,0.4977,440
Bwd (CV),ret_RUT_cum5,5,short,0.1236,0.0228,0.0098,0.074,0.1329,-0.094,0.005577,0.6,20
Bwd (CV),ret_XLE_cum10,10,full,-0.4016,-0.0947,-0.1078,0.2048,-0.5262,-0.6617,-0.003171,0.4261,176
Bwd (CV),ret_XLE_cum10,10,long,0.6728,0.1049,0.0919,0.1174,0.7824,-0.1966,-0.003171,0.6667,27
Bwd (CV),ret_XLE_cum10,10,short,-0.6089,-0.1664,-0.1794,0.1973,-0.9091,-0.694,-0.003171,0.3826,149
Fwd (CV),ret_XLE_cum3,3,full,0.0974,0.0182,0.0052,0.1934,0.0267,-0.3323,-0.003178,0.5246,305
Fwd (CV),ret_XLE_cum3,3,long,0.1066,0.0198,0.0068,0.1878,0.0363,-0.3365,-0.003178,0.5425,247
Fwd (CV),ret_XLE_cum3,3,short,-0.0402,-0.0079,-0.0209,0.1065,-0.1966,-0.221,-0.003178,0.4483,58
Bwd (CV),ret_XLE_cum5,5,full,0.7269,0.1117,0.0987,0.2188,0.4511,-0.245,0.003492,0.5293,410
Bwd (CV),ret_XLE_cum5,5,long,1.0872,0.1533,0.1403,0.2251,0.6233,-0.2438,0.003492,0.5505,376
Bwd (CV),ret_XLE_cum5,5,short,-0.1662,-0.0346,-0.0476,0.1131,-0.4214,-0.3306,0.003492,0.2941,34
PCR,ret_XLF,1,full,-0.0441,-0.0087,-0.0217,0.018,-1.2042,-0.0512,-0.000456,0.3333,6
PCR,ret_XLF,1,long,-0.0365,-0.0072,-0.0202,0.0161,-1.2562,-0.0365,-0.000456,0.0,1
PCR,ret_XLF,1,short,-0.0078,-0.0015,-0.0145,0.0082,-1.781,-0.0153,-0.000456,0.4,5
Ridge,ret_XLF_cum15,15,full,-0.0017,-0.0003,-0.0134,0.1531,-0.0872,-0.2806,-0.017375,0.5,196
Ridge,ret_XLF_cum15,15,long,0.5727,0.0917,0.0787,0.1155,0.6815,-0.1803,-0.017375,0.6071,112
Ridge,ret_XLF_cum15,15,short,-0.3255,-0.0735,-0.0865,0.1346,-0.6428,-0.3674,-0.017375,0.3571,84
Bwd (CV),ret_XLF_cum3,3,full,0.5026,0.0821,0.0691,0.161,0.4292,-0.3508,-0.008644,0.5597,486
Bwd (CV),ret_XLF_cum3,3,long,0.6729,0.1049,0.0919,0.1627,0.5645,-0.2941,-0.008644,0.5626,471
Bwd (CV),ret_XLF_cum3,3,short,-0.1282,-0.0262,-0.0393,0.033,-1.1879,-0.1351,-0.008644,0.4667,15
Fwd (CV),ret_XLK_cum5,5,full,1.8599,0.2259,0.2129,0.2209,0.9638,-0.263,-0.001359,0.5817,471
Fwd (CV),ret_XLK_cum5,5,long,1.5871,0.2023,0.1893,0.2344,0.8078,-0.2971,-0.001359,0.5856,444
Fwd (CV),ret_XLK_cum5,5,short,0.1049,0.0195,0.0065,0.0862,0.0755,-0.1091,-0.001359,0.5185,27
RF,ret_XLV,1,full,0.0744,0.014,0.001,0.0614,0.0161,-0.1259,0.004696,0.4449,236
RF,ret_XLV,1,long,0.0183,0.0035,-0.0095,0.0377,-0.2523,-0.0869,0.004696,0.4507,71
RF,ret_XLV,1,short,0.0551,0.0105,-0.0026,0.0485,-0.0528,-0.0844,0.004696,0.4424,165
Fwd (CV),ret_XLV_cum3,3,full,0.276,0.0484,0.0354,0.0978,0.3615,-0.1877,0.001584,0.5113,309
Fwd (CV),ret_XLV_cum3,3,long,0.185,0.0334,0.0204,0.0951,0.2149,-0.1796,0.001584,0.5121,289
Fwd (CV),ret_XLV_cum3,3,short,0.0726,0.0137,0.0007,0.0376,0.0177,-0.052,0.001584,0.5,20
Fwd (CV),ret_XLV_cum5,5,full,0.5672,0.091,0.078,0.1247,0.6255,-0.1173,0.007603,0.5289,450
Fwd (CV),ret_XLV_cum5,5,long,0.4462,0.0741,0.0611,0.1293,0.4729,-0.1522,0.007603,0.529,431
Fwd (CV),ret_XLV_cum5,5,short,0.1194,0.0221,0.0091,0.0428,0.2121,-0.0549,0.007603,0.5263,19
Bwd (CV),ret_ZN,1,full,0.1184,0.0219,0.0089,0.039,0.2287,-0.0393,-0.014466,0.499,487
Bwd (CV),ret_ZN,1,long,-0.0007,-0.0001,-0.0131,0.0057,-2.3021,-0.0078,-0.014466,0.4118,17
Bwd (CV),ret_ZN,1,short,0.1192,0.0221,0.009,0.0386,0.2346,-0.0393,-0.014466,0.5021,470
Lasso,ret_ZN_cum5,5,full,-0.0583,-0.0116,-0.0246,0.0374,-0.6575,-0.0929,-0.010708,0.4154,130
Lasso,ret_ZN_cum5,5,long,-0.106,-0.0215,-0.0345,0.0289,-1.1946,-0.1179,-0.010708,0.2879,66
Lasso,ret_ZN_cum5,5,short,0.0532,0.0101,-0.0029,0.0246,-0.1186,-0.0551,-0.010708,0.5469,64
PLS,ret_ZT,1,full,-0.0011,-0.0002,-0.0132,0.0006,-23.4302,-0.0011,-0.000183,0.375,8
PLS,ret_ZT,1,long,-0.0011,-0.0002,-0.0132,0.0006,-23.4302,-0.0011,-0.000183,0.375,8
PLS,ret_ZT,1,short,0.0,0.0,-0.013,0.0,,0.0,-0.000183,,0
RF,ret_ZT_cum10,10,full,-0.0085,-0.0016,-0.0147,0.0176,-0.8355,-0.0395,-0.002997,0.5023,217
RF,ret_ZT_cum10,10,long,-0.0198,-0.0039,-0.0169,0.0043,-3.9464,-0.0204,-0.002997,0.5,28
RF,ret_ZT_cum10,10,short,0.0106,0.002,-0.011,0.0171,-0.6408,-0.0386,-0.002997,0.5026,189
Lasso,ret_ZT_cum15,15,full,-0.0048,-0.0009,-0.0139,0.0186,-0.7514,-0.0341,-0.002424,0.4831,445
Lasso,ret_ZT_cum15,15,long,-0.0159,-0.0031,-0.0161,0.0032,-4.9956,-0.0184,-0.002424,0.4,85
Lasso,ret_ZT_cum15,15,short,0.0113,0.0022,-0.0108,0.0183,-0.5926,-0.0341,-0.002424,0.5028,360
PLS,ret_ZT_cum3,3,full,-0.0039,-0.0008,-0.0138,0.0011,-12.0568,-0.0049,-0.001149,0.5,12
PLS,ret_ZT_cum3,3,long,-0.0039,-0.0008,-0.0138,0.0011,-12.0568,-0.0049,-0.001149,0.5,12
PLS,ret_ZT_cum3,3,short,0.0,0.0,-0.013,0.0,,0.0,-0.001149,,0
Lasso,ret_ZT_cum5,5,full,0.0068,0.0013,-0.0117,0.0182,-0.6419,-0.033,-0.001444,0.5244,389
Lasso,ret_ZT_cum5,5,long,-0.0108,-0.0021,-0.0151,0.0033,-4.6503,-0.0119,-0.001444,0.4444,27
Lasso,ret_ZT_cum5,5,short,0.0178,0.0034,-0.0096,0.0179,-0.5348,-0.033,-0.001444,0.5304,362
